devil's_darning_needle%1:20:00::	devil-s_darning_needle%1:20:00::
devil's_fig%1:20:00::	devil-s_fig%1:20:00::
devil's_flax%1:20:00::	devil-s_flax%1:20:00::
devil's_food%1:13:00::	devil-s_food%1:13:00::
devil's_food_cake%1:13:00::	devil-s_food_cake%1:13:00::
devil's_milk%1:20:01::	devil-s_milk%1:20:01::
devil's_milk%1:20:02::	devil-s_milk%1:20:02::
devil's_tongue%1:20:00::	devil-s_tongue%1:20:00::
devil's_urn%1:20:00::	devil-s_urn%1:20:00::
devil's_walking_stick%1:20:00::	devil-s_walking_stick%1:20:00::
devil's_weed%1:20:00::	devil-s_weed%1:20:00::
dhu'l-hijja%1:28:00::	dhu-l-hijja%1:28:00::
dhu'l-qa'dah%1:28:00::	dhu-l-qa-dah%1:28:00::
dippel's_oil%1:27:00::	dippel-s_oil%1:27:00::
doctor's_bill%1:10:00::	doctor-s_bill%1:10:00::
doctor's_degree%1:10:00::	doctor-s_degree%1:10:00::
dog's_mercury%1:20:00::	dog-s_mercury%1:20:00::
dog's-tooth_check%1:06:00::	dog-s-tooth_check%1:06:00::
dog's-tooth_violet%1:20:00::	dog-s-tooth_violet%1:20:00::
doll's_eyes%1:20:00::	doll-s_eyes%1:20:00::
doll's_house%1:06:00::	doll-s_house%1:06:00::
doll's_house%1:06:01::	doll-s_house%1:06:01::
don't-know%1:18:00::	don-t-know%1:18:00::
do_one's_best%2:41:00::	do_one-s_best%2:41:00::
dover's_powder%1:06:00::	dover-s_powder%1:06:00::
dove's_foot_geranium%1:20:00::	dove-s_foot_geranium%1:20:00::
down's_syndrome%1:26:00::	down-s_syndrome%1:26:00::
d'oyly_carte%1:18:00::	d-oyly_carte%1:18:00::
drag_one's_feet%2:42:00::	drag_one-s_feet%2:42:00::
dragon's_blood%1:27:00::	dragon-s_blood%1:27:00::
dragon's_eye%1:13:00::	dragon-s_eye%1:13:00::
dragon's_head%1:20:00::	dragon-s_head%1:20:00::
dragon's_mouth%1:20:00::	dragon-s_mouth%1:20:00::
dressmaker's_model%1:18:00::	dressmaker-s_model%1:18:00::
driver's_license%1:10:00::	driver-s_license%1:10:00::
duc_d'elchingen%1:18:00::	duc_d-elchingen%1:18:00::
duchenne's_muscular_dystrophy%1:26:00::	duchenne-s_muscular_dystrophy%1:26:00::
duck's_egg%1:23:00::	duck-s_egg%1:23:00::
duke_of_argyll's_tea_tree%1:20:00::	duke_of_argyll-s_tea_tree%1:20:00::
dunce's_cap%1:06:00::	dunce-s_cap%1:06:00::
dutchman's_breeches%1:20:00::	dutchman-s_breeches%1:20:00::
dutchman's-pipe%1:20:00::	dutchman-s-pipe%1:20:00::
dyer's-broom%1:20:00::	dyer-s-broom%1:20:00::
dyers'_chamomile%1:20:00::	dyers-_chamomile%1:20:00::
dyer's_greenweed%1:20:00::	dyer-s_greenweed%1:20:00::
dyer's_mignonette%1:20:00::	dyer-s_mignonette%1:20:00::
dyer's_rocket%1:20:00::	dyer-s_rocket%1:20:00::
dyer's_weed%1:20:00::	dyer-s_weed%1:20:00::
dyer's_woad%1:20:00::	dyer-s_woad%1:20:00::
dyer's_woodruff%1:20:00::	dyer-s_woodruff%1:20:00::
earth's_crust%1:17:00::	earth-s_crust%1:17:00::
earth's_surface%1:17:00::	earth-s_surface%1:17:00::
edna_o'brien%1:18:00::	edna_o-brien%1:18:00::
e'en%4:02:00::	e-en%4:02:00::
e'er%4:02:00::	e-er%4:02:00::
einstein's_general_theory_of_relativity%1:09:00::	einstein-s_general_theory_of_relativity%1:09:00::
einstein's_special_theory_of_relativity%1:09:00::	einstein-s_special_theory_of_relativity%1:09:00::
einstein's_theory_of_relativity%1:09:00::	einstein-s_theory_of_relativity%1:09:00::
elegant_cat's_ears%1:20:00::	elegant_cat-s_ears%1:20:00::
elephant's_ear%1:20:01::	elephant-s_ear%1:20:01::
elephant's_ear%1:20:02::	elephant-s_ear%1:20:02::
elephant's-foot%1:20:01::	elephant-s-foot%1:20:01::
elephant's-foot%1:20:02::	elephant-s-foot%1:20:02::
elliott's_goldenrod%1:20:00::	elliott-s_goldenrod%1:20:00::
enchanter's_nightshade%1:20:00::	enchanter-s_nightshade%1:20:00::
engelmann's_spruce%1:20:00::	engelmann-s_spruce%1:20:00::
engineer's_chain%1:23:00::	engineer-s_chain%1:23:00::
entr'acte%1:04:00::	entr-acte%1:04:00::
entr'acte%1:28:00::	entr-acte%1:28:00::
erb's_palsy%1:26:00::	erb-s_palsy%1:26:00::
eugene_gladstone_o'neill%1:18:00::	eugene_gladstone_o-neill%1:18:00::
eugene_o'neill%1:18:00::	eugene_o-neill%1:18:00::
european_ladies'_tresses%1:20:00::	european_ladies-_tresses%1:20:00::
ewing's_sarcoma%1:26:00::	ewing-s_sarcoma%1:26:00::
ewing's_tumor%1:26:00::	ewing-s_tumor%1:26:00::
ewing's_tumour%1:26:00::	ewing-s_tumour%1:26:00::
explorer's_gentian%1:20:00::	explorer-s_gentian%1:20:00::
fallot's_syndrome%1:26:00::	fallot-s_syndrome%1:26:00::
fallot's_tetralogy%1:26:00::	fallot-s_tetralogy%1:26:00::
false_baby's_breath%1:20:00::	false_baby-s_breath%1:20:00::
fanconi's_anaemia%1:26:00::	fanconi-s_anaemia%1:26:00::
fanconi's_anemia%1:26:00::	fanconi-s_anemia%1:26:00::
farmer's_calendar%1:10:00::	farmer-s_calendar%1:10:00::
farmer's_cheese%1:13:00::	farmer-s_cheese%1:13:00::
farmer's_lung%1:26:00::	farmer-s_lung%1:26:00::
farmer's_market%1:06:00::	farmer-s_market%1:06:00::
father's_day%1:28:00::	father-s_day%1:28:00::
fechner's_law%1:09:00::	fechner-s_law%1:09:00::
fehling's_solution%1:27:00::	fehling-s_solution%1:27:00::
fencer's_mask%1:06:00::	fencer-s_mask%1:06:00::
finger's_breadth%1:23:00::	finger-s_breadth%1:23:00::
fireman's_ax%1:06:00::	fireman-s_ax%1:06:00::
fireman's_axe%1:06:00::	fireman-s_axe%1:06:00::
fireman's_carry%1:04:00::	fireman-s_carry%1:04:00::
